"filename", "language", "Markdown", "Java", "XML", "SQL", "comment", "blank", "total"
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\src\main\java\com\mycompany\testtecnico\persistence\SectionController.java", "Java", 0, 70, 0, 0, 8, 38, 116
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\src\main\java\com\mycompany\testtecnico\persistence\ServicestaffController.java", "Java", 0, 187, 0, 0, 18, 57, 262
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\src\main\java\com\mycompany\testtecnico\persistence\StaffController.java", "Java", 0, 6, 0, 0, 8, 6, 20
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\src\main\java\com\mycompany\testtecnico\persistence\StudentController.java", "Java", 0, 77, 0, 0, 8, 36, 121
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\src\main\java\com\mycompany\testtecnico\persistence\TeacherController.java", "Java", 0, 189, 0, 0, 18, 56, 263
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\src\main\java\com\mycompany\testtecnico\persistence\exceptions\IllegalOrphanException.java", "Java", 0, 18, 0, 0, 0, 3, 21
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\src\main\java\com\mycompany\testtecnico\persistence\exceptions\NonexistentEntityException.java", "Java", 0, 9, 0, 0, 0, 2, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\src\main\java\com\mycompany\testtecnico\persistence\exceptions\PreexistingEntityException.java", "Java", 0, 9, 0, 0, 0, 2, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\src\main\resources\META-INF\persistence.xml", "XML", 0, 0, 24, 0, 0, 1, 25
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\META-INF\persistence.xml", "XML", 0, 0, 24, 0, 0, 1, 25
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\TestTecnico.class", "Java", 0, 12, 0, 0, 0, 0, 12
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\CourseEdit$1.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\CourseEdit$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\CourseEdit$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\CourseEdit$4.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\CourseEdit.class", "Java", 0, 72, 0, 0, 0, 0, 72
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\CoursePanel$1.class", "Java", 0, 8, 0, 0, 0, 0, 8
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\CoursePanel$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\CoursePanel$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\CoursePanel$4.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\CoursePanel$5.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\CoursePanel.class", "Java", 0, 97, 0, 0, 0, 0, 97
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\DepartmentEdit$1.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\DepartmentEdit$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\DepartmentEdit$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\DepartmentEdit$4.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\DepartmentEdit.class", "Java", 0, 57, 0, 0, 0, 0, 57
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\DepartmentPanel$1.class", "Java", 0, 8, 0, 0, 0, 0, 8
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\DepartmentPanel$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\DepartmentPanel$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\DepartmentPanel$4.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\DepartmentPanel$5.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\DepartmentPanel.class", "Java", 0, 86, 0, 0, 0, 0, 86
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\IguCommodities.class", "Java", 0, 57, 0, 0, 0, 2, 59
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\SectionEdit$1.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\SectionEdit$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\SectionEdit$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\SectionEdit$4.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\SectionEdit$5.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\SectionEdit.class", "Java", 0, 61, 0, 0, 0, 0, 61
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\SectionPanel$1.class", "Java", 0, 8, 0, 0, 0, 0, 8
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\SectionPanel$2.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\SectionPanel$3.class", "Java", 0, 11, 0, 0, 0, 0, 11
"d:\Trabajos\PWC\Test-tecnico-Java\TestTecnico\target\classes\com\mycompany\testtecnico\igu\SectionPanel$4.class", "Java", 0, 11, 0, 0, 0, 0, 11
